City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
326,faya-largeau,17.9257,19.1043,33.21,20,9,5.4,TD,1724025571
327,kargasok,59.0556,80.8572,10.53,96,21,2.98,RU,1724025572
328,chilpancingo,17.55,-99.5,22.8,91,34,1.29,MX,1724025573
329,punta arenas,-53.15,-70.9167,4.06,75,75,4.63,CL,1724025382
330,naha,26.2125,127.6811,29.95,83,75,12.35,JP,1724025575
331,acarau,-2.8856,-40.12,24.74,81,79,5.11,BR,1724025576
332,verkhnyaya sinyachikha,57.976,61.6673,9.44,97,59,2.14,RU,1724025578
333,bacalar,18.6667,-88.3833,28.53,74,25,2.89,MX,1724025579
334,walvis bay,-22.9575,14.5053,14.04,65,1,2.52,NA,1724025580
335,yarmouth,41.7057,-70.2286,22.06,88,75,2.06,US,1724025441
336,vanimo,-2.6741,141.3028,28.28,76,100,2.83,PG,1724025582
337,kupjansk,49.7209,37.5998,18.46,35,32,1.51,UA,1724025584
338,birni n konni,13.7956,5.2553,27.53,72,58,3.29,NE,1724025585
339,miri,4.4148,114.0089,26.08,94,40,0.0,MY,1724025586
340,candelaria,13.9311,121.4233,27.32,87,100,0.89,PH,1724025587
341,labuan,5.2767,115.2417,26.2,100,20,0.0,MY,1724025588
342,karamay,45.6004,84.8661,23.48,46,100,7.91,CN,1724025589
343,buncrana,55.1333,-7.45,10.12,94,100,2.06,IE,1724025592
344,undurkhaan,47.3194,110.6556,16.66,84,97,4.67,MN,1724025594
345,selfoss,63.9331,-20.9971,5.58,74,48,4.49,IS,1724025595
346,egilsstadir,65.2653,-14.3948,6.95,70,75,3.09,IS,1724025597
347,geraldton,-28.7667,114.6,14.23,77,100,2.06,AU,1724025598
348,zemio,5.0314,25.1361,18.69,99,99,1.38,CF,1724025599
349,damara,4.9608,18.7035,20.91,91,100,1.42,CF,1724025600
350,sake,-1.5736,29.045,18.67,65,88,1.03,CD,1724025605
351,maksatikha,57.797,35.8825,11.75,95,4,1.59,RU,1724025606
352,selkirk,50.1436,-96.8845,24.54,60,3,2.87,CA,1724025608
353,sittwe,20.15,92.9,25.93,88,100,2.33,MM,1724025609
354,meulaboh,4.1363,96.1285,24.23,94,100,2.99,ID,1724025610
355,lodja,-3.4833,23.4333,21.64,69,16,0.6,CD,1724025612
356,chui,-33.6971,-53.4616,13.75,97,100,4.13,UY,1724025613
357,tantou,26.0314,119.5986,27.87,89,75,3.0,CN,1724025614
358,plastun,44.7561,136.2939,15.9,98,100,2.28,RU,1724025615
359,homestead meadows north,31.8496,-106.1729,37.7,16,0,1.54,US,1724025616
360,szczecin,53.4289,14.553,17.45,85,100,3.13,PL,1724025567
361,tazovsky,67.4667,78.7,9.59,95,100,2.1,RU,1724025619
362,igarka,67.4667,86.5833,12.67,90,61,2.38,RU,1724025620
